Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
,09/13/2013 - 9:26am,,,,9/13/13,9/13/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,The center trunk of this tree was removed about two years ago because it had died.  There is a mountain ash seedling starting to grow in the center crotch of the tree.,
,09/19/2013 - 2:55pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?). ",
,10/06/2013 - 5:45pm,,,,10/6/13,10/6/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,09/10/2013 - 1:33pm,,,,9/10/13,9/10/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,No visible damages,Leaves have black/brown spots on them.
,09/17/2013 - 12:38pm,,,,9/17/13,9/17/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
,09/17/2013 - 2:05pm,,,,9/17/13,9/17/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,There are at least three places where limbs have broken off or been cut by humans. There is a large hole in one of the main branches that was either started by disease or maybe woodpeckers but is now home to at least 2 squirrels. ,Mystery tree growing on it.
,09/18/2013 - 8:58pm,,,,9/18/13,9/18/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Tree looks very healthy,
,09/19/2013 - 9:38pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,There doesn't appear to be any fungal growth or broken limbs. ,
,09/19/2013 - 10:07pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,No obvious disease or damage,
,09/19/2013 - 11:06am,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,no apparent damage/disease,
,09/19/2013 - 11:36am,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,low branch
,09/19/2013 - 4:16pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,Tree appears to be in good health.  There are early signs of some rot in the trunk.,
,09/19/2013 - 4:26pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,09/20/2013 - 10:03am,,,,9/20/13,9/20/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
,09/20/2013 - 10:19am,,,,9/20/13,9/20/13,,Fall,,,,Yes,School garden,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,N/A,
,09/21/2013 - 3:00pm,,,,9/21/13,9/21/13,,Fall,,,,Yes,School garden,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None.,lower branch
,11/11/2013 - 1:44pm,,,,11/11/13,11/11/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,09/20/2013 - 9:02am,,,,9/20/13,9/20/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
,09/20/2013 - 2:45pm,,,,9/20/13,9/20/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Some crotch splitting and many woodpecker holes in a couple of main branches. Several branches cut due to powerlines. Most all limbs still seem viable.,Mystery tree on it.
,09/21/2013 - 12:47pm,,,,9/21/13,9/21/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,None.,
,09/23/2013 - 12:17pm,,,,9/23/13,9/23/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Some of the branches are in direct contact with a power line. ,
,09/23/2013 - 12:56pm,,,,9/23/13,9/23/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,seems to have spots on the leaves,
,09/23/2013 - 11:58am,,,,9/23/13,9/23/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,"Missing limbs, but they look like they've been trimmed off. Therefore, it's uncertain if they were removed because of disease or for aesthetic and/or safety purposes. ",
,09/23/2013 - 1:10am,,,,9/23/13,9/23/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,N/A,
