"","Serial","Time","Username","Observer","Tree.ID","Date","Julian","Season","Species","Latitude","Longitude","Urbanization","Habitat","Shading","Circumference","LeafColor","LeafDropping","Fruit","LeafBud","LeafUnfurled","Flowering","Damage","Comments","UniqueID","LongLat"
"1",1,"09/13/2013 - 9:26am",NA,NA,NA,2013-09-13,256,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"The center trunk of this tree was removed about two years ago because it had died.  There is a mountain ash seedling starting to grow in the center crotch of the tree.",NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"2",2,"09/19/2013 - 2:55pm",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?).",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"3",3,"10/06/2013 - 5:45pm",NA,NA,NA,2013-10-06,279,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"4",4,"09/10/2013 - 1:33pm",NA,NA,NA,2013-09-10,253,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"No visible damages","Leaves have black/brown spots on them.","NA_NA__NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"5",5,"09/17/2013 - 12:38pm",NA,NA,NA,2013-09-17,260,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"None",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"6",6,"09/17/2013 - 2:05pm",NA,NA,NA,2013-09-17,260,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"There are at least three places where limbs have broken off or been cut by humans. There is a large hole in one of the main branches that was either started by disease or maybe woodpeckers but is now home to at least 2 squirrels.","Mystery tree growing on it.","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"7",7,"09/18/2013 - 8:58pm",NA,NA,NA,2013-09-18,261,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Tree looks very healthy",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"8",8,"09/19/2013 - 9:38pm",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"There doesn't appear to be any fungal growth or broken limbs.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"9",9,"09/19/2013 - 10:07pm",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"No obvious disease or damage",NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"10",10,"09/19/2013 - 11:06am",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"no apparent damage/disease",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
