,Serial,Time,Username,Observer,Tree ID,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments,UniqueID,TreeCode,Obs
2108,2108,05/23/2016 - 2:13pm,canton54er,5/23/16,54,NA,NA,NA,NA,NA,NA,Yes,School lawn,Open (more than 5hr per day of direct sun),87,NA,NA,NA,yes,yes,no,"missing limb

",no,5/23/16_54_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_87,1,1
1495,1495,NA,NA,Chris Keeffe,NA,9/25/17,268,Fall,Sugar Maple,44.578333,-75.096389,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,on the edge of a swamp,"Chris Keeffe_NA_Sugar Maple_44.578333_-75.096389_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_38",2,1
1496,1496,NA,NA,Chris Keeffe,NA,10/3/17,276,Fall,Sugar Maple,44.578333,-75.096389,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,on the edge of a swamp,"Chris Keeffe_NA_Sugar Maple_44.578333_-75.096389_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_38",2,2
1497,1497,NA,NA,Chris Keeffe,NA,10/8/17,281,Fall,Sugar Maple,44.578333,-75.096389,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,on the edge of a swamp,"Chris Keeffe_NA_Sugar Maple_44.578333_-75.096389_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_38",2,3
1498,1498,NA,NA,Chris Keeffe,NA,10/20/17,293,Fall,Sugar Maple,44.578333,-75.096389,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,on the edge of a swamp,"Chris Keeffe_NA_Sugar Maple_44.578333_-75.096389_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_38",2,4
1491,1491,NA,NA,Heinrich Salzmann,NA,9/17/17,260,Fall,Sugar Maple,44.577222,-75.0925,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,NA,"Heinrich Salzmann_NA_Sugar Maple_44.577222_-75.0925_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_43",3,1
1492,1492,NA,NA,Heinrich Salzmann,NA,9/24/17,267,Fall,Sugar Maple,44.577222,-75.0925,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,NA,"Heinrich Salzmann_NA_Sugar Maple_44.577222_-75.0925_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_43",3,2
1493,1493,NA,NA,Heinrich Salzmann,NA,10/7/17,280,Fall,Sugar Maple,44.577222,-75.0925,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,NA,"Heinrich Salzmann_NA_Sugar Maple_44.577222_-75.0925_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_43",3,3
1494,1494,NA,NA,Heinrich Salzmann,NA,10/20/17,293,Fall,Sugar Maple,44.577222,-75.0925,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,One dead branch,NA,"Heinrich Salzmann_NA_Sugar Maple_44.577222_-75.0925_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_43",3,4
1475,1475,NA,NA,Jack Greene,NA,9/18/17,261,Fall,Sugar Maple,NA,NA,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),NA,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),NA,NA,NA,few lumps on trunk,NA,"Jack Greene_NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA",4,1
