Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
1,09/13/2013 - 9:26am,,,,9/13/13,9/13/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,The center trunk of this tree was removed about two years ago because it had died.  There is a mountain ash seedling starting to grow in the center crotch of the tree.,
2,09/19/2013 - 2:55pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?). ",
3,10/06/2013 - 5:45pm,,,,10/6/13,10/6/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
4,09/10/2013 - 1:33pm,,,,9/10/13,9/10/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,No visible damages,Leaves have black/brown spots on them.
5,09/17/2013 - 12:38pm,,,,9/17/13,9/17/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
6,09/17/2013 - 2:05pm,,,,9/17/13,9/17/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,There are at least three places where limbs have broken off or been cut by humans. There is a large hole in one of the main branches that was either started by disease or maybe woodpeckers but is now home to at least 2 squirrels. ,Mystery tree growing on it.
7,09/18/2013 - 8:58pm,,,,9/18/13,9/18/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Tree looks very healthy,
8,09/19/2013 - 9:38pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,There doesn't appear to be any fungal growth or broken limbs. ,
9,09/19/2013 - 10:07pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,No obvious disease or damage,
10,09/19/2013 - 11:06am,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,no apparent damage/disease,
11,09/19/2013 - 11:36am,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,low branch
12,09/19/2013 - 4:16pm,,,,9/19/13,9/19/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,Tree appears to be in good health.  There are early signs of some rot in the trunk.,
